ref_qubit_frequency_GHz,ref_anharmonicity_MHz,ref_connection_pads.readout.claw_length,ref_connection_pads.readout.ground_spacing,ref_cross_length,pred_qubit_frequency_GHz,pred_anharmonicity_MHz,pred_connection_pads.readout.claw_length,pred_connection_pads.readout.ground_spacing,pred_cross_length
7.126586,-525.81836,7e-05,4.1e-06,9e-05,7.105103,-515.7521,0.00025862662,4.6048463e-06,8.9229085e-05
5.7285047,-314.43652,8e-05,1e-05,0.00014,5.7223744,-315.4798,0.00013592155,4.568842e-06,0.00014142081
3.263812,-91.64246,0.00028,4.1e-06,0.00041,3.2628875,-91.56432,9.946473e-05,4.994246e-06,0.00040368826
4.186732,-156.6177,0.00018,4.1e-06,0.00026,4.179247,-156.8771,9.512096e-05,4.4735352e-06,0.00026119253
3.3006408,-93.85955,0.00031,4.1e-06,0.0004,3.2989817,-93.78125,9.897351e-05,5.011902e-06,0.0003967688
5.264033,-259.70804,0.00011,9.1e-06,0.00016,5.2607884,-261.2988,0.00011420802,4.875885e-06,0.00016527563
3.6397588,-115.70621,0.00025,5e-06,0.00033,3.6413345,-116.228546,9.440922e-05,5.1608113e-06,0.0003320327
3.533611,-108.58691,0.00020000001,9.1e-06,0.00035000002,3.529858,-108.319016,9.5845964e-05,5.116883e-06,0.00035249634
4.9610868,-227.49472,0.00014,5e-06,0.00018,4.9541483,-227.57729,0.000115205126,4.594048e-06,0.00018649701
3.3465166,-96.663315,0.00024,4.1e-06,0.00039,3.3474782,-96.62241,9.8360404e-05,5.0334934e-06,0.00038811952
3.5415413,-109.10982,0.00021,4.1e-06,0.00036,3.5381517,-108.90747,9.5738884e-05,5.1202505e-06,0.00035097392
4.034047,-144.46875,0.00025,5e-06,0.00027000002,4.032925,-144.79446,9.157466e-05,4.480517e-06,0.0002781203
3.9617128,-138.91316,0.00025,9.1e-06,0.00028,3.9609764,-139.10773,9.077303e-05,4.545414e-06,0.00028669398
3.8862925,-133.25552,0.00011,1e-05,0.00029999999,3.884715,-133.6274,9.138883e-05,4.7172493e-06,0.00029668113
3.9559376,-138.47505,0.00011,4.1e-06,0.00029,3.9551125,-138.68637,9.082005e-05,4.5586225e-06,0.00028746194
3.7602336,-124.10311,0.00013,9.1e-06,0.00031,3.7578886,-124.51932,9.242637e-05,5.001344e-06,0.00031317511
3.827125,-128.91267,0.00018,4.1e-06,0.00031,3.8255816,-129.36974,9.1874535e-05,4.851074e-06,0.00030445348
6.1891212,-375.65042,8e-05,4.1e-06,0.000120000004,6.1804476,-376.93646,0.00017052268,4.0461905e-06,0.00012446419
3.7606227,-124.13079,0.00015,9.1e-06,0.00031,3.758283,-124.547485,9.242316e-05,5.0004733e-06,0.00031312462
3.7635794,-124.341156,0.00020000001,4.1e-06,0.00032,3.7612808,-124.76184,9.239871e-05,4.9938535e-06,0.00031274057
3.818712,-128.30194,0.00021,9.1e-06,0.00029999999,3.8173704,-128.7725,9.194379e-05,4.870034e-06,0.00030555428
3.481471,-105.184425,0.000120000004,9.1e-06,0.00036,3.479437,-104.76616,9.654899e-05,5.0944036e-06,0.00036248067
4.03221,-144.32603,0.00013,1e-05,0.00028,4.031183,-144.65057,9.153241e-05,4.48059e-06,0.00027832203
3.5428216,-109.19439,0.00018,1e-05,0.00036,3.5394914,-109.00254,9.5721596e-05,5.120793e-06,0.000350728
3.4964867,-106.15797,0.00026,4.1e-06,0.00037,3.4917254,-105.61714,9.6346695e-05,5.1009374e-06,0.0003596098
4.8256927,-213.94083,0.00017,5e-06,0.00019,4.819041,-214.19073,0.000111565,4.546191e-06,0.00019772821
3.8197324,-128.37592,0.00015,5e-06,0.00029999999,3.818366,-128.84492,9.1935384e-05,4.8677357e-06,0.0003054208
4.3604727,-171.1523,7e-05,4.1e-06,0.00024000001,4.3494825,-170.93352,9.924473e-05,4.4633475e-06,0.00024152044
4.1050014,-150.04277,0.00013,4.1e-06,0.00027000002,4.1005454,-150.37834,9.321373e-05,4.4774993e-06,0.0002702952
4.702015,-202.00133,0.00015,9.1e-06,0.00020000001,4.696559,-202.04987,0.0001080896,4.506005e-06,0.00020788377
3.4478977,-103.02624,0.00029999999,4.1e-06,0.00038,3.4520257,-102.86779,9.700074e-05,5.0796166e-06,0.00036888637
3.6486497,-116.31429,0.00016,1e-05,0.00034,3.6507173,-116.89429,9.428853e-05,5.164378e-06,0.0003303103
4.373267,-172.253,0.00021,5e-06,0.00023,4.363102,-172.09514,9.9552184e-05,4.4625012e-06,0.00024005423
3.891668,-133.65427,0.00019,4.1e-06,0.00029999999,3.8901289,-134.01643,9.134481e-05,4.7050476e-06,0.0002959722
3.8214226,-128.49854,0.00025,5e-06,0.00029999999,3.8200152,-128.96489,9.192147e-05,4.8639276e-06,0.0003051997
4.3571854,-170.87016,0.00011,1e-05,0.00024000001,4.3462243,-170.66446,9.9165816e-05,4.4635626e-06,0.00024189676
4.9586987,-227.2512,0.00011,5e-06,0.00018,4.952259,-227.39264,0.00011521579,4.591762e-06,0.00018666721
3.5331779,-108.558365,0.00013,9.1e-06,0.00035000002,3.529405,-108.28686,9.585182e-05,5.116699e-06,0.0003525795
3.5963168,-112.76118,0.00019,4.1e-06,0.00035000002,3.59559,-112.98287,9.499812e-05,5.143133e-06,0.00034043
6.352633,-399.1975,9e-05,5e-06,0.00011,6.3531723,-401.16586,0.00018848614,3.8792186e-06,0.00011839449
3.7617717,-124.212524,0.00029999999,1e-05,0.00032,3.7594478,-124.63079,9.2413655e-05,4.9979008e-06,0.0003129754
3.7599084,-124.07999,0.00024,9.1e-06,0.00031,3.7575588,-124.49572,9.2429065e-05,5.002072e-06,0.00031321737
4.702796,-202.07544,0.000120000004,5e-06,0.00020000001,4.6973257,-202.12582,0.00010811137,4.506261e-06,0.0002078202
3.2638903,-91.647156,0.00023,4.1e-06,0.00041,3.2629504,-91.56862,9.946369e-05,4.9942837e-06,0.0004036736
3.4968708,-106.182915,0.00027000002,1e-05,0.00037,3.4920397,-105.63891,9.634153e-05,5.1011043e-06,0.0003595364
3.76251,-124.265045,0.00026,1e-05,0.00032,3.7601964,-124.684296,9.240755e-05,4.9962478e-06,0.00031287948
3.5423052,-109.16028,1e-04,4.1e-06,0.00036,3.538951,-108.96418,9.5728574e-05,5.1205743e-06,0.00035082718
3.7591026,-124.0227,0.00020000001,9.1e-06,0.00031,3.756742,-124.43735,9.243574e-05,5.0038752e-06,0.000313322
3.7026327,-120.04609,8e-05,4.1e-06,0.00033,3.7009306,-120.4543,9.3450544e-05,5.1286606e-06,0.00032108583
3.4017315,-100.10011,0.00036,1e-05,0.00039,3.4061174,-100.05809,9.762072e-05,5.058887e-06,0.00037766504
3.7604916,-124.12147,1e-04,9.1e-06,0.00031,3.7581499,-124.53801,9.242425e-05,5.000766e-06,0.00031314165
3.4024673,-100.146385,8e-05,1e-05,0.00039,3.4069006,-100.104,9.761084e-05,5.0592207e-06,0.0003775254
5.5269513,-289.86548,0.00013,1e-05,0.00015,5.5148287,-289.95703,0.00012615629,4.7546523e-06,0.00015084202
3.533679,-108.591385,0.00021,9.1e-06,0.00035000002,3.5299294,-108.324066,9.584505e-05,5.116912e-06,0.00035248327
5.944764,-342.2702,7e-05,1e-05,0.00013,5.928688,-342.13782,0.00014516886,4.3483756e-06,0.00013323799
5.2561665,-258.8378,0.00013,5e-06,0.00016,5.2543755,-260.57562,0.00011390693,4.877738e-06,0.00016564771
3.5427594,-109.19028,8e-05,1e-05,0.00036,3.5394263,-108.99793,9.572243e-05,5.120766e-06,0.00035073995
4.114267,-150.7798,0.00016,9.1e-06,0.00026,4.1094236,-151.11147,9.3428906e-05,4.477076e-06,0.0002692681
4.6651783,-198.52548,7e-05,4.1e-06,0.00021,4.6605225,-198.47809,0.0001070653,4.4939115e-06,0.00021087396
3.4966621,-106.16935,0.00028,4.1e-06,0.00037,3.4918687,-105.62708,9.6344345e-05,5.101014e-06,0.00035957628
4.6654196,-198.54811,8e-05,4.1e-06,0.00021,4.660758,-198.50145,0.000107071995,4.493991e-06,0.00021085444
4.0345592,-144.50853,7e-05,9.1e-06,0.00027000002,4.033411,-144.83456,9.158643e-05,4.480497e-06,0.0002780641
3.2611074,-91.48084,0.00014,1e-05,0.00041,3.260708,-91.41499,9.9500765e-05,4.992938e-06,0.00040419557
3.8259509,-128.82733,0.00019,4.1e-06,0.00031,3.824435,-129.28633,9.18842e-05,4.853722e-06,0.00030460724
3.6471672,-116.21279,0.00029999999,1e-05,0.00034,3.6491528,-116.78328,9.4308656e-05,5.1637844e-06,0.00033059748
3.402678,-100.159645,0.00037000002,1e-05,0.00039,3.4071252,-100.11715,9.760802e-05,5.0593158e-06,0.0003774854
4.3739724,-172.31378,0.00011,5e-06,0.00023,4.3638887,-172.16357,9.9569144e-05,4.462454e-06,0.00023997338
4.3621836,-171.29921,0.00011,4.1e-06,0.00024000001,4.3511786,-171.07355,9.9285804e-05,4.463235e-06,0.00024132455
5.0580363,-237.51631,1e-04,4.1e-06,0.00018,5.0424895,-236.801,0.00011475844,4.6873038e-06,0.00017954317
3.449495,-103.12834,0.00028,1e-05,0.00038,3.453328,-102.95794,9.697925e-05,5.0803255e-06,0.00036858203
4.9002905,-221.34541,0.00015,1e-05,0.00019,4.8940396,-221.62582,0.000113688635,4.570115e-06,0.00019151521
3.221902,-89.15591,0.00028,1e-05,0.00042,3.2291806,-89.25506,0.000100022684,4.9738064e-06,0.0004115365
3.9586935,-138.68402,7e-05,5e-06,0.00028,3.9579103,-138.88739,9.079761e-05,4.55232e-06,0.00028709555
4.287935,-164.99094,0.00019,5e-06,0.00024000001,4.277919,-165.02458,9.751144e-05,4.4678945e-06,0.00024978738
3.7627828,-124.28445,0.00013,1e-05,0.00032,3.7604728,-124.70409,9.240529e-05,4.9956375e-06,0.0003128441
3.2609215,-91.46975,1e-04,1e-05,0.00041,3.2605584,-91.40473,9.950324e-05,4.9928476e-06,0.00040423044
5.193966,-252.02098,1e-04,1e-05,0.00017,5.193827,-253.78241,0.00011408584,4.819536e-06,0.00016964272
4.032185,-144.3241,0.00016,5e-06,0.00027000002,4.031159,-144.64862,9.153184e-05,4.480591e-06,0.00027832476
4.028899,-144.06914,1e-04,4.1e-06,0.00028,4.028044,-144.39139,9.145632e-05,4.480721e-06,0.00027868533
3.3058271,-94.17418,8e-05,1e-05,0.0004,3.304454,-94.101845,9.890426e-05,5.0143653e-06,0.00039579262
4.3617473,-171.26173,0.00013,4.1e-06,0.00024000001,4.350746,-171.03786,9.927533e-05,4.463264e-06,0.0002413745
3.760796,-124.143105,0.000120000004,5e-06,0.00031,3.7584586,-124.56007,9.2421724e-05,5.0000854e-06,0.0003131021
3.6406205,-115.76505,0.000120000004,9.1e-06,0.00033,3.6422436,-116.293045,9.439752e-05,5.161158e-06,0.00033186577
4.183774,-156.37688,0.00011,1e-05,0.00026,4.176384,-156.64067,9.505158e-05,4.4736876e-06,0.0002615236
