sample_idx,param,ref,pred,abs_error,sq_error
12,top_to_bottom,0.15822,0.112535,0.0456845,0.00208708
12,top_to_ground,0.142871,0.149088,0.00621659,3.8646e-05
12,bottom_to_bottom,0.129865,0.115906,0.0139596,0.000194869
12,bottom_to_ground,0.108988,0.119436,0.010448,0.00010916
12,ground_to_ground,0.118296,0.126138,0.00784174,6.14929e-05
13,top_to_top,0.291762,0.266966,0.024796,0.000614842
13,top_to_bottom,0.234925,0.228669,0.00625556,3.91321e-05
13,top_to_ground,0.402457,0.346493,0.0559642,0.00313199
13,bottom_to_bottom,0.351839,0.333058,0.0187812,0.000352733
13,bottom_to_ground,0.429628,0.405196,0.0244319,0.000596918
13,ground_to_ground,0.426779,0.387123,0.0396551,0.00157253
14,top_to_top,0.079789,0.0423435,0.0374455,0.00140216
14,top_to_bottom,0.00445841,0.00803766,0.00357925,1.2811e-05
14,top_to_ground,0.237945,0.132423,0.105521,0.0111347
14,bottom_to_bottom,0.0140402,0.0176881,0.00364792,1.33073e-05
14,bottom_to_ground,0.0213385,0.0446198,0.0232813,0.000542018
14,ground_to_ground,0.0781956,0.0653019,0.0128937,0.000166247
15,top_to_top,0.276191,0.261206,0.0149847,0.000224541
15,top_to_bottom,0.271145,0.239213,0.0319323,0.00101967
15,top_to_ground,0.286324,0.302364,0.01604,0.00025728
15,bottom_to_bottom,0.35595,0.326656,0.0292936,0.000858118
15,bottom_to_ground,0.412403,0.383668,0.0287353,0.000825718
15,ground_to_ground,0.38344,0.369177,0.0142633,0.000203441
16,top_to_top,0.130494,0.124112,0.00638165,4.07255e-05
16,top_to_bottom,0.132689,0.107826,0.0248638,0.00061821
16,top_to_ground,0.139709,0.161482,0.0217723,0.000474034
16,bottom_to_bottom,0.151183,0.140498,0.010685,0.00011417
16,bottom_to_ground,0.164225,0.162212,0.00201394,4.05595e-06
16,ground_to_ground,0.160597,0.159801,0.000796367,6.342e-07
17,top_to_top,0.71476,0.676788,0.0379716,0.00144184
17,top_to_bottom,0.774634,0.758454,0.0161803,0.000261801
17,top_to_ground,0.566674,0.579031,0.0123572,0.0001527
17,bottom_to_bottom,0.670394,0.70467,0.0342753,0.0011748
17,bottom_to_ground,0.59801,0.67135,0.0733394,0.00537867
17,ground_to_ground,0.600376,0.626607,0.0262314,0.000688085
18,top_to_top,0.499256,0.490062,0.00919311,8.45133e-05
18,top_to_bottom,0.46801,0.479252,0.0112422,0.000126386
18,top_to_ground,0.53802,0.530596,0.00742363,5.51103e-05
18,bottom_to_bottom,0.489613,0.509611,0.0199987,0.000399948
18,bottom_to_ground,0.503055,0.529269,0.0262149,0.00068722
18,ground_to_ground,0.518191,0.518769,0.000577773,3.33822e-07
19,top_to_top,0.679516,0.637093,0.0424236,0.00179976
19,top_to_bottom,0.594847,0.60718,0.0123334,0.000152112
19,top_to_ground,0.810141,0.768918,0.0412225,0.00169929
19,bottom_to_bottom,0.732685,0.753137,0.0204519,0.000418281
19,bottom_to_ground,0.822124,0.863035,0.0409105,0.00167367
19,ground_to_ground,0.82959,0.797796,0.031794,0.00101086
20,top_to_top,0.13891,0.147072,0.00816208,6.66196e-05
20,top_to_bottom,0.125659,0.122713,0.00294612,8.67964e-06
20,top_to_ground,0.175197,0.198925,0.0237282,0.000563028
20,bottom_to_bottom,0.191415,0.18532,0.00609491,3.7148e-05
20,bottom_to_ground,0.236843,0.226866,0.00997681,9.95367e-05
20,ground_to_ground,0.22345,0.219747,0.00370311,1.3713e-05
21,top_to_top,0.473986,0.44877,0.0252156,0.000635825
21,top_to_bottom,0.400671,0.41511,0.0144392,0.00020849
21,top_to_ground,0.594963,0.52688,0.068083,0.00463529
21,bottom_to_bottom,0.398062,0.436828,0.038766,0.0015028
21,bottom_to_ground,0.395822,0.454447,0.0586251,0.0034369
21,ground_to_ground,0.455432,0.455752,0.000319624,1.02159e-07
22,top_to_top,0.0730384,0.0639654,0.00907307,8.23206e-05
22,top_to_bottom,0.0200323,0.0382056,0.0181733,0.00033027
22,top_to_ground,0.190523,0.115671,0.0748523,0.00560287
22,bottom_to_bottom,0.0435709,0.0591594,0.0155885,0.000243001
22,bottom_to_ground,0.0595656,0.0838052,0.0242397,0.000587561
22,ground_to_ground,0.0898838,0.0895236,0.000360207,1.29749e-07
23,top_to_top,0.0593274,0.0695811,0.0102538,0.000105139
23,top_to_bottom,0.050065,0.061994,0.011929,0.000142301
23,top_to_ground,0.0948599,0.0924508,0.00240908,5.80367e-06
23,bottom_to_bottom,0.0712853,0.081728,0.0104428,0.000109051
23,bottom_to_ground,0.0857361,0.095622,0.00988593,9.77315e-05
23,ground_to_ground,0.08453,0.0906694,0.00613945,3.76929e-05
24,top_to_top,0.048595,0.0508825,0.00228752,5.23274e-06
24,top_to_bottom,0.00695251,0.0359595,0.029007,0.000841403
24,top_to_ground,0.145796,0.0854493,0.0603469,0.00364175
24,bottom_to_bottom,0.02253,0.0469193,0.0243893,0.000594837
24,bottom_to_ground,0.0330366,0.0634947,0.0304582,0.000927699
24,ground_to_ground,0.0571893,0.0656702,0.00848097,7.19268e-05
25,top_to_top,0.617564,0.584854,0.0327098,0.00106993
25,top_to_bottom,0.545968,0.552015,0.00604789,3.65769e-05
25,top_to_ground,0.724315,0.708795,0.0155203,0.000240881
25,bottom_to_bottom,0.664435,0.678615,0.0141806,0.000201089
25,bottom_to_ground,0.739095,0.776143,0.0370482,0.00137257
25,ground_to_ground,0.740586,0.727552,0.0130332,0.000169865
26,top_to_top,0.0364953,0.0555426,0.0190474,0.000362802
26,top_to_bottom,0.035958,0.0518661,0.0159082,0.00025307
26,top_to_ground,0.0579248,0.0725849,0.0146601,0.00021492
26,bottom_to_bottom,0.0578573,0.0699322,0.0120749,0.000145803
26,bottom_to_ground,0.0725835,0.0828254,0.0102419,0.000104896
26,ground_to_ground,0.0663975,0.0751013,0.0087038,7.57561e-05
27,top_to_top,0.229408,0.234125,0.00471717,2.22517e-05
27,top_to_bottom,0.209984,0.208275,0.00170817,2.91783e-06
27,top_to_ground,0.271286,0.282966,0.0116804,0.000136431
27,bottom_to_bottom,0.273476,0.273179,0.000297755,8.8658e-08
27,bottom_to_ground,0.316015,0.315974,4.08362e-05,1.6676e-09
27,ground_to_ground,0.308735,0.311292,0.00255708,6.53867e-06
28,top_to_top,0.0947045,0.09307,0.00163447,2.67148e-06
28,top_to_bottom,0.1194,0.085193,0.0342067,0.0011701
28,top_to_ground,0.0637438,0.11661,0.0528664,0.00279485
28,bottom_to_bottom,0.107488,0.0984034,0.00908437,8.25257e-05
28,bottom_to_ground,0.0986112,0.105688,0.00707678,5.00809e-05
28,ground_to_ground,0.0885711,0.106238,0.0176666,0.000312108
29,top_to_top,0.122095,0.112665,0.00943021,8.89289e-05
29,top_to_bottom,0.0841346,0.0866486,0.00251406,6.32052e-06
29,top_to_ground,0.208211,0.162004,0.0462067,0.00213506
29,bottom_to_bottom,0.112315,0.121396,0.00908056,8.24565e-05
29,bottom_to_ground,0.130871,0.148502,0.0176307,0.000310841
29,ground_to_ground,0.147332,0.150762,0.00343021,1.17664e-05
30,top_to_top,0.0270984,0.0413227,0.0142243,0.000202331
30,top_to_bottom,0.00210678,0.0374537,0.0353469,0.00124941
30,top_to_ground,0.0966381,0.0586076,0.0380305,0.00144632
30,bottom_to_bottom,0.00660664,0.0396321,0.0330255,0.00109068
30,bottom_to_ground,0.0101879,0.0478558,0.0376679,0.00141887
30,ground_to_ground,0.0291624,0.0460731,0.0169107,0.000285971
31,top_to_top,0.587185,0.535842,0.0513434,0.00263615
31,top_to_bottom,0.485342,0.488102,0.00275993,7.61722e-06
31,top_to_ground,0.751844,0.67487,0.0769739,0.00592498
31,bottom_to_bottom,0.572159,0.582483,0.010324,0.000106586
31,bottom_to_ground,0.625899,0.660735,0.0348369,0.00121361
31,ground_to_ground,0.664639,0.640034,0.0246049,0.000605402
32,top_to_top,0.392096,0.384108,0.00798705,6.3793e-05
32,top_to_bottom,0.392475,0.39045,0.00202545,4.10246e-06
32,top_to_ground,0.382292,0.366648,0.0156448,0.00024476
32,bottom_to_bottom,0.410187,0.409635,0.000552102,3.04817e-07
32,bottom_to_ground,0.419317,0.417727,0.0015896,2.52683e-06
32,ground_to_ground,0.413538,0.408523,0.0050157,2.51572e-05
33,top_to_top,0.171594,0.15786,0.0137341,0.000188626
33,top_to_bottom,0.186373,0.145194,0.0411791,0.00169572
33,top_to_ground,0.153723,0.184319,0.0305955,0.000936087
33,bottom_to_bottom,0.175244,0.161914,0.0133299,0.000177687
33,bottom_to_ground,0.16724,0.174595,0.00735529,5.41002e-05
33,ground_to_ground,0.162308,0.17721,0.014902,0.000222071
34,top_to_top,0.134165,0.143021,0.00885577,7.84247e-05
34,top_to_bottom,0.107647,0.115999,0.00835248,6.97639e-05
34,top_to_ground,0.194668,0.200363,0.0056948,3.24308e-05
34,bottom_to_bottom,0.195008,0.191961,0.00304647,9.28098e-06
34,bottom_to_ground,0.253304,0.241449,0.0118552,0.000140545
34,ground_to_ground,0.24263,0.231583,0.0110473,0.000122042
35,top_to_top,0.48437,0.474437,0.00993315,9.86674e-05
35,top_to_bottom,0.424961,0.425623,0.000662345,4.38701e-07
35,top_to_ground,0.577986,0.590694,0.012708,0.000161492
35,bottom_to_bottom,0.525359,0.531989,0.00663029,4.39608e-05
35,bottom_to_ground,0.589459,0.609123,0.0196644,0.00038669
35,ground_to_ground,0.591555,0.589729,0.00182614,3.33478e-06
36,top_to_top,0.680926,0.663038,0.0178879,0.000319977
36,top_to_bottom,0.689792,0.701544,0.0117523,0.000138116
36,top_to_ground,0.64357,0.638997,0.00457326,2.09147e-05
36,bottom_to_bottom,0.574498,0.64231,0.067812,0.00459846
36,bottom_to_ground,0.492548,0.607451,0.114903,0.0132028
36,ground_to_ground,0.539862,0.594872,0.0550098,0.00302608
37,top_to_top,0.484109,0.487754,0.00364523,1.32877e-05
37,top_to_bottom,0.360526,0.37989,0.0193637,0.000374954
37,top_to_ground,0.699071,0.737111,0.0380405,0.00144708
37,bottom_to_bottom,0.635468,0.669044,0.033576,0.00112735
37,bottom_to_ground,0.821086,0.876829,0.0557422,0.0031072
37,ground_to_ground,0.79788,0.818214,0.0203343,0.000413484
38,top_to_top,0.0602989,0.0513502,0.00894871,8.00794e-05
38,top_to_bottom,0.00868676,0.0297265,0.0210397,0.00044267
38,top_to_ground,0.176039,0.0977688,0.0782698,0.00612616
38,bottom_to_bottom,0.0149312,0.0404234,0.0254922,0.000649851
38,bottom_to_ground,0.0194361,0.0587438,0.0393077,0.00154509
38,ground_to_ground,0.0538553,0.065194,0.0113386,0.000128565
39,top_to_top,0.560868,0.529165,0.031703,0.00100508
39,top_to_bottom,0.602707,0.578893,0.023814,0.000567108
39,top_to_ground,0.460045,0.450612,0.00943369,8.89944e-05
39,bottom_to_bottom,0.529571,0.551728,0.0221573,0.000490945
39,bottom_to_ground,0.477644,0.530966,0.0533215,0.00284318
39,ground_to_ground,0.481924,0.504484,0.0225598,0.000508944
40,top_to_top,0.499802,0.50036,0.000558049,3.11418e-07
40,top_to_bottom,0.46602,0.475101,0.00908009,8.24481e-05
40,top_to_ground,0.544451,0.579218,0.0347675,0.00120878
40,bottom_to_bottom,0.539175,0.552741,0.0135659,0.000184034
40,bottom_to_ground,0.588948,0.609386,0.0204373,0.000417683
40,ground_to_ground,0.590531,0.586156,0.00437508,1.91414e-05
41,top_to_top,0.0522821,0.0641515,0.0118694,0.000140882
41,top_to_bottom,0.0437873,0.0558122,0.0120249,0.000144599
41,top_to_ground,0.086869,0.0880392,0.00117021,1.36938e-06
41,bottom_to_bottom,0.0771884,0.0814153,0.00422697,1.78673e-05
41,bottom_to_ground,0.0995672,0.0991018,0.000465417,2.16613e-07
41,ground_to_ground,0.0921898,0.0918333,0.000356477,1.27076e-07
42,top_to_top,0.0179881,0.0397275,0.0217394,0.000472602
42,top_to_bottom,0.0088078,0.0405178,0.03171,0.00100552
42,top_to_ground,0.0572274,0.0500591,0.00716832,5.13848e-05
42,bottom_to_bottom,0.0148394,0.0438891,0.0290497,0.000843886
42,bottom_to_ground,0.0194342,0.0501829,0.0307487,0.000945481
42,ground_to_ground,0.0198145,0.044434,0.0246195,0.000606119
43,top_to_top,0.172355,0.154421,0.0179341,0.000321633
43,top_to_bottom,0.114619,0.111664,0.00295472,8.73035e-06
43,top_to_ground,0.290661,0.23297,0.0576913,0.00332829
43,bottom_to_bottom,0.10883,0.115002,0.00617196,3.80931e-05
43,bottom_to_ground,0.103569,0.130032,0.0264628,0.00070028
43,ground_to_ground,0.151995,0.155135,0.00314001,9.85965e-06
44,top_to_top,0.370294,0.36598,0.00431444,1.86144e-05
44,top_to_bottom,0.379841,0.373307,0.00653427,4.26966e-05
44,top_to_ground,0.346985,0.342165,0.00481958,2.32284e-05
44,bottom_to_bottom,0.413253,0.39983,0.0134231,0.000180179
44,bottom_to_ground,0.43377,0.413282,0.0204881,0.000419761
44,ground_to_ground,0.416981,0.401737,0.0152432,0.000232355
45,top_to_top,0.210038,0.203281,0.00675718,4.56595e-05
45,top_to_bottom,0.1621,0.166038,0.00393794,1.55074e-05
45,top_to_ground,0.305442,0.264508,0.0409347,0.00167565
45,bottom_to_bottom,0.167147,0.176359,0.00921166,8.48547e-05
45,bottom_to_ground,0.169341,0.191591,0.0222501,0.000495068
45,ground_to_ground,0.200831,0.21107,0.0102388,0.000104832
46,top_to_top,0.370581,0.357504,0.0130773,0.000171015
46,top_to_bottom,0.304996,0.317881,0.0128849,0.00016602
46,top_to_ground,0.490824,0.440558,0.050266,0.00252667
46,bottom_to_bottom,0.385001,0.402743,0.0177419,0.000314776
46,bottom_to_ground,0.437327,0.460453,0.0231254,0.000534785
46,ground_to_ground,0.455829,0.447808,0.00802117,6.43392e-05
47,top_to_top,0.419469,0.43519,0.0157211,0.000247152
47,top_to_bottom,0.343863,0.364711,0.0208477,0.000434629
47,top_to_ground,0.551974,0.591254,0.0392797,0.00154289
47,bottom_to_bottom,0.509924,0.52634,0.0164162,0.000269491
47,bottom_to_ground,0.618946,0.642967,0.0240215,0.000577033
47,ground_to_ground,0.607929,0.616814,0.00888431,7.8931e-05
48,top_to_top,0.0581226,0.0564156,0.00170704,2.91398e-06
48,top_to_bottom,0.00978404,0.0358851,0.026101,0.000681263
48,top_to_ground,0.16707,0.0995821,0.0674876,0.00455458
48,bottom_to_bottom,0.0316044,0.0530843,0.0214798,0.000461384
48,bottom_to_ground,0.046336,0.0746809,0.0283449,0.000803435
48,ground_to_ground,0.077859,0.0779736,0.00011459,1.31309e-08
49,top_to_top,0.598859,0.587431,0.011428,0.000130599
49,top_to_bottom,0.569728,0.591441,0.0217133,0.000471466
49,top_to_ground,0.630322,0.611802,0.0185198,0.000342981
49,bottom_to_bottom,0.508159,0.568463,0.0603037,0.00363654
49,bottom_to_ground,0.466261,0.555515,0.0892549,0.00796643
49,ground_to_ground,0.519531,0.549418,0.0298865,0.000893203
