ref_qubit_frequency_GHz,ref_anharmonicity_MHz,ref_connection_pads.readout.claw_length,ref_connection_pads.readout.ground_spacing,ref_cross_length,pred_qubit_frequency_GHz,pred_anharmonicity_MHz,pred_connection_pads.readout.claw_length,pred_connection_pads.readout.ground_spacing,pred_cross_length
3.4964867,-106.15797,0.00026,4.1e-06,0.00037,3.4966688,-106.00923,0.00023138185,5.331616e-06,0.00035850797
4.8256927,-213.94083,0.00017,5e-06,0.00019,4.822082,-214.64899,8.5685526e-05,4.3231203e-06,0.00019929756
3.8197324,-128.37592,0.00015,5e-06,0.00029999999,3.8174472,-128.80254,0.00018417639,4.8582183e-06,0.00030563265
4.3604727,-171.1523,7e-05,4.1e-06,0.00024000001,4.3580127,-171.57689,0.00013678124,4.4270473e-06,0.00024091323
4.1050014,-150.04277,0.00013,4.1e-06,0.00027000002,4.1044493,-150.68895,0.0001536579,4.617126e-06,0.00026832696
4.702015,-202.00133,0.00015,9.1e-06,0.00020000001,4.7021456,-202.7613,9.6394615e-05,4.342081e-06,0.00020876828
3.4478977,-103.02624,0.00029999999,4.1e-06,0.00038,3.447835,-102.55116,0.00023909584,5.415611e-06,0.0003674796
3.6486497,-116.31429,0.00016,1e-05,0.00034,3.6474102,-116.684,0.00020662668,5.083276e-06,0.00033081626
4.373267,-172.253,0.00021,5e-06,0.00023,4.372824,-172.85263,0.00013515342,4.424236e-06,0.00023937102
3.891668,-133.65427,0.00019,4.1e-06,0.00029999999,3.887252,-133.78433,0.00017549584,4.7848775e-06,0.0002957659
